"","channel","channel_id","text","emote_id","subscription"
"1","Twitch",0,"ALLINTOVOTE",303785275,0
"2","Twitch",0,"ShowOfHands",303564554,0
"3","Twitch",0,"CTC",302955885,0
"4","Twitch",0,"FootGoal",302628617,0
"5","Twitch",0,"FootYellow",302628613,0
"6","Twitch",0,"FootBall",302628600,0
"7","Twitch",0,"BlackLivesMatter",302537250,0
"8","Twitch",0,"ExtraLife",302426269,0
"9","Twitch",0,"VirtualHug",301696583,0
"10","Twitch",0,"BOP",301428702,0
"11","Twitch",0,"PorscheWIN",300745158,0
"12","Twitch",0,"SingsNote",300116350,0
"13","Twitch",0,"SingsMic",300116349,0
"14","Twitch",0,"TwitchSings",300116344,0
"15","Twitch",0,"SoonerLater",2113050,0
"16","Twitch",0,"HolidayTree",1713825,0
"17","Twitch",0,"HolidaySanta",1713822,0
"18","Twitch",0,"HolidayPresent",1713819,0
"19","Twitch",0,"HolidayOrnament",1713818,0
"20","Twitch",0,"HolidayLog",1713816,0
"21","Twitch",0,"HolidayCookie",1713813,0
"22","Twitch",0,"GunRun",1584743,0
"23","Twitch",0,"PixelBob",1547903,0
"24","Twitch",0,"FBPenalty",1441289,0
"25","Twitch",0,"FBChallenge",1441285,0
"26","Twitch",0,"FBCatch",1441281,0
"27","Twitch",0,"FBBlock",1441276,0
"28","Twitch",0,"FBSpiral",1441273,0
"29","Twitch",0,"FBPass",1441271,0
"30","Twitch",0,"FBRun",1441261,0
"31","Twitch",0,"GenderFluidPride",1297281,0
"32","Twitch",0,"NonBinaryPride",1297279,0
"33","Twitch",0,"MaxLOL",1290325,0
"34","Twitch",0,"IntersexPride",1221184,0
"35","Twitch",0,"TwitchRPG",1220086,0
"36","Twitch",0,"PansexualPride",1130349,0
"37","Twitch",0,"AsexualPride",1130348,0
"38","Twitch",0,"TransgenderPride",1064995,0
"39","Twitch",0,"GayPride",1064991,0
"40","Twitch",0,"LesbianPride",1064988,0
"41","Twitch",0,"BisexualPride",1064987,0
"42","Twitch",0,"PinkMercy",1003190,0
"43","Twitch",0,"MercyWing2",1003189,0
"44","Twitch",0,"MercyWing1",1003187,0
"45","Twitch",0,"PartyHat",965738,0
"46","Twitch",0,"EarthDay",959018,0
"47","Twitch",0,"TombRaid",864205,0
"48","Twitch",0,"PopCorn",724216,0
"49","Twitch",0,"FBtouchdown",626795,0
"50","Twitch",0,"PurpleStar",624501,0
"51","Twitch",0,"GreenTeam",530890,0
"52","Twitch",0,"RedTeam",530888,0
"53","Twitch",0,"TPFufun",508650,0
"54","Twitch",0,"TwitchVotes",479745,0
"55","Twitch",0,"DarkMode",461298,0
"56","Twitch",0,"HSWP",446979,0
"57","Twitch",0,"HSCheers",444572,0
"58","Twitch",0,"PowerUpL",425688,0
"59","Twitch",0,"PowerUpR",425671,0
"60","Twitch",0,"LUL",425618,0
"61","Twitch",0,"EntropyWins",376765,0
"62","Twitch",0,"TPcrunchyroll",323914,0
"63","Twitch",0,"TwitchUnity",196892,0
"64","Twitch",0,"Squid4",191767,0
"65","Twitch",0,"Squid3",191764,0
"66","Twitch",0,"Squid2",191763,0
"67","Twitch",0,"Squid1",191762,0
"68","Twitch",0,"CrreamAwk",191313,0
"69","Twitch",0,"CarlSmile",166266,0
"70","Twitch",0,"TwitchLit",166263,0
"71","Twitch",0,"TehePelo",160404,0
"72","Twitch",0,"TearGlove",160403,0
"73","Twitch",0,"SabaPing",160402,0
"74","Twitch",0,"PunOko",160401,0
"75","Twitch",0,"KonCha",160400,0
"76","Twitch",0,"Kappu",160397,0
"77","Twitch",0,"InuyoFace",160396,0
"78","Twitch",0,"BigPhish",160395,0
"79","Twitch",0,"BegWan",160394,0
"80","Twitch",0,"ThankEgg",160392,0
"81","Twitch",0,"MorphinTime",156787,0
"82","Twitch",0,"TheIlluminati",145315,0
"83","Twitch",0,"TBAngel",143490,0
"84","Twitch",0,"MVGame",142140,0
"85","Twitch",0,"NinjaGrumpy",138325,0
"86","Twitch",0,"PartyTime",135393,0
"87","Twitch",0,"RlyTho",134256,0
"88","Twitch",0,"UWot",134255,0
"89","Twitch",0,"YouDontSay",134254,0
"90","Twitch",0,"KAPOW",133537,0
"91","Twitch",0,"ItsBoshyTime",133468,0
"92","Twitch",0,"CoolStoryBob",123171,0
"93","Twitch",0,"TriHard",120232,0
"94","Twitch",0,"SuperVinlin",118772,0
"95","Twitch",0,"FreakinStinkin",117701,0
"96","Twitch",0,"Poooound",117484,0
"97","Twitch",0,"CurseLit",116625,0
"98","Twitch",0,"BatChest",115234,0
